Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 220.9700, Temp: 47
[001] Power: 220.4840, Temp: 47
[002] Power: 220.9700, Temp: 47
[003] Power: 220.4840, Temp: 47
[004] Power: 220.4840, Temp: 47
[005] Power: 220.4840, Temp: 47
[006] Power: 220.4840, Temp: 47
[007] Power: 220.4840, Temp: 47
[008] Power: 220.4840, Temp: 47
[009] Power: 220.4840, Temp: 47
[010] Power: 220.3390, Temp: 47
[011] Power: 220.4840, Temp: 47
[012] Power: 220.9700, Temp: 47
[013] Power: 220.4840, Temp: 47
[014] Power: 220.3390, Temp: 47
[015] Power: 220.4840, Temp: 47
[016] Power: 220.4840, Temp: 47
[017] Power: 220.9700, Temp: 47
[018] Power: 220.4840, Temp: 47
[019] Power: 220.4840, Temp: 47
[020] Power: 220.4840, Temp: 47
[021] Power: 220.4840, Temp: 47
[022] Power: 220.9700, Temp: 47
[023] Power: 220.9700, Temp: 47
[024] Power: 220.4840, Temp: 47
[025] Power: 220.4840, Temp: 47
[026] Power: 220.4840, Temp: 47
[027] Power: 220.4840, Temp: 47
[028] Power: 220.9700, Temp: 47
[029] Power: 220.4840, Temp: 47
[030] Power: 220.4840, Temp: 47
[031] Power: 220.4840, Temp: 47
[032] Power: 220.9700, Temp: 47
[033] Power: 220.9700, Temp: 47
[034] Power: 220.9700, Temp: 47
[035] Power: 220.4840, Temp: 47
[036] Power: 220.4840, Temp: 47
[037] Power: 220.4840, Temp: 47
[038] Power: 220.9700, Temp: 47
[039] Power: 220.4840, Temp: 47
[040] Power: 220.8250, Temp: 47
[041] Power: 220.4840, Temp: 47
[042] Power: 220.9700, Temp: 47
[043] Power: 220.9700, Temp: 47
[044] Power: 220.9700, Temp: 47
[045] Power: 220.9700, Temp: 47
[046] Power: 220.9700, Temp: 47
[047] Power: 220.8250, Temp: 47
[048] Power: 220.4840, Temp: 47
[049] Power: 220.9700, Temp: 47
[050] Power: 220.4840, Temp: 47
[051] Power: 220.9700, Temp: 47
[052] Power: 220.9700, Temp: 47
[053] Power: 220.4840, Temp: 47
[054] Power: 220.9700, Temp: 47
[055] Power: 220.9700, Temp: 47
[056] Power: 220.4840, Temp: 47
[057] Power: 220.9700, Temp: 47
[058] Power: 220.9700, Temp: 47
[059] Power: 220.9700, Temp: 47
[060] Power: 220.9700, Temp: 47
[061] Power: 220.4840, Temp: 47
[062] Power: 220.9700, Temp: 47
[063] Power: 220.4840, Temp: 47
[064] Power: 220.9700, Temp: 47
[065] Power: 220.4840, Temp: 47
[066] Power: 220.9700, Temp: 47
[067] Power: 220.9700, Temp: 47
[068] Power: 220.9700, Temp: 47
[069] Power: 220.4840, Temp: 47
[070] Power: 220.9700, Temp: 47
[071] Power: 220.8250, Temp: 47
[072] Power: 220.9700, Temp: 47
[073] Power: 220.4840, Temp: 47
[074] Power: 220.4840, Temp: 47
[075] Power: 220.9700, Temp: 47
[076] Power: 220.4840, Temp: 47
[077] Power: 220.9700, Temp: 47
[078] Power: 220.4840, Temp: 47
[079] Power: 220.9700, Temp: 47
[080] Power: 220.9700, Temp: 47
[081] Power: 220.4840, Temp: 47
[082] Power: 220.9700, Temp: 47
[083] Power: 220.9700, Temp: 47
[084] Power: 220.9700, Temp: 47
[085] Power: 220.4840, Temp: 47
[086] Power: 220.9700, Temp: 47
[087] Power: 220.9700, Temp: 47
[088] Power: 220.9700, Temp: 47
[089] Power: 220.9700, Temp: 47
[090] Power: 220.9700, Temp: 47
[091] Power: 220.4840, Temp: 47
[092] Power: 220.9700, Temp: 47
[093] Power: 220.4840, Temp: 47
[094] Power: 220.4840, Temp: 47
[095] Power: 220.4840, Temp: 47
[096] Power: 220.9700, Temp: 47
[097] Power: 220.9700, Temp: 47
[098] Power: 220.9700, Temp: 47
[099] Power: 220.4840, Temp: 47
[100] Power: 220.9700, Temp: 47
[101] Power: 220.4840, Temp: 47
[102] Power: 220.4840, Temp: 47
[103] Power: 220.4840, Temp: 47
[104] Power: 220.9700, Temp: 47
[105] Power: 220.4840, Temp: 47
[106] Power: 220.9700, Temp: 47
[107] Power: 220.9700, Temp: 47
[108] Power: 220.9700, Temp: 47
[109] Power: 220.9700, Temp: 47
[110] Power: 220.9700, Temp: 47
[111] Power: 220.9700, Temp: 47
[112] Power: 220.4840, Temp: 47
[113] Power: 220.9700, Temp: 47
[114] Power: 220.9700, Temp: 47
[115] Power: 220.9700, Temp: 47
[116] Power: 220.4840, Temp: 47
[117] Power: 220.4840, Temp: 47
[118] Power: 220.9700, Temp: 47
[119] Power: 220.9700, Temp: 47
[120] Power: 220.9700, Temp: 47
[121] Power: 220.9700, Temp: 47
[122] Power: 220.9700, Temp: 47
[123] Power: 220.9700, Temp: 47
[124] Power: 220.9700, Temp: 47
[125] Power: 220.9700, Temp: 47
[126] Power: 220.9700, Temp: 47
[127] Power: 220.8250, Temp: 47
[128] Power: 220.9700, Temp: 47
[129] Power: 220.9700, Temp: 47
[130] Power: 220.4840, Temp: 47
[131] Power: 220.4840, Temp: 47
[132] Power: 220.9700, Temp: 47
[133] Power: 220.9700, Temp: 47
[134] Power: 220.8250, Temp: 47
[135] Power: 220.9700, Temp: 47
[136] Power: 220.9700, Temp: 47
[137] Power: 220.9700, Temp: 47
[138] Power: 220.9700, Temp: 47
[139] Power: 220.9700, Temp: 47
[140] Power: 220.9700, Temp: 47
